weeks,event,age,logsalary,married,isfemale,hasChildren,caucasian
6,0,26,6.2219296,0,0,0,1
7,1,32,6.063708497,0,1,0,1
1,0,35,6.973126666,0,0,0,1
12,0,40,7.475691687,1,0,1,1
2,0,26,5.033535799,1,1,1,1
6,1,31,5.727197626,0,1,0,1
5,0,45,5.885945757,0,1,0,1
1,0,31,5.728158331,1,0,0,0
12,0,42,5.0443244,0,1,0,1
8,0,42,5.658239611,1,0,1,1
8,0,37,6.415380359,1,0,1,1
3,0,28,5.534022462,0,0,0,0
8,0,36,5.76781459,1,0,1,0
4,0,27,6.010152416,0,1,0,1
5,0,27,6.349129524,1,0,1,1
6,0,53,6.421997507,0,0,0,1
3,1,25,5.843624988,0,1,0,1
6,0,30,5.569648494,0,0,0,0
0,0,29,5.408336733,0,0,0,1
0,1,27,5.526971594,1,0,1,1
8,0,27,6.505391267,1,0,1,1
11,0,36,5.977864423,1,1,0,1
7,0,28,6.012603587,1,1,1,1
8,0,29,5.780213181,1,0,1,1
2,0,41,4.773844233,0,0,0,1
4,0,31,5.780322756,1,0,1,1
4,0,58,6.225497312,1,0,0,1
2,0,24,5.990614352,0,0,0,1
2,1,49,5.379304998,0,1,0,1
9,0,47,6.206397854,1,0,0,1
3,0,22,5.338669679,0,0,0,1
3,0,54,6.010745425,1,0,1,0
2,0,38,5.996379739,0,0,0,1
7,1,26,5.761085293,1,0,0,1
2,0,20,5.020254541,0,0,0,1
2,0,43,4.778829729,1,1,0,1
1,1,28,5.297642159,0,1,1,1
5,0,31,5.326870022,0,1,1,1
5,1,34,5.960419484,0,1,0,1
10,0,21,5.331857493,0,0,0,1
5,1,53,5.430517196,1,0,0,1
10,0,22,6.300805146,0,0,0,1
18,0,50,5.429494146,1,1,0,1
12,0,49,4.636598946,0,1,1,1
7,0,60,5.772900358,1,0,0,1
11,0,42,6.201533621,1,0,1,1
3,0,44,5.902901682,1,0,1,1
2,1,20,5.257426867,0,0,0,1
0,1,25,5.061449313,1,1,1,1
4,0,41,5.992749535,0,0,0,1
18,0,26,5.765725694,0,1,0,1
2,0,23,5.563289145,0,1,0,1
2,0,27,5.750519012,1,0,1,1
2,0,29,5.852740666,1,0,1,1
8,0,30,4.889507876,0,0,0,0
0,0,25,5.340617175,1,1,1,1
2,0,30,5.553246153,1,0,1,1
5,0,60,4.837904617,1,0,1,1
0,0,56,5.732101778,1,0,0,1
2,0,22,4.811947401,0,0,1,1
4,0,45,4.788833902,1,1,0,0
2,1,33,6.351075627,0,1,0,1
26,0,60,6.051906573,1,0,0,1
6,0,21,5.05696153,0,0,1,1
3,0,30,5.271792582,0,0,0,1
13,0,44,6.503115556,1,0,1,1
1,0,52,6.471404092,1,0,1,1
10,0,31,5.185119056,1,1,1,1
26,0,51,6.047947573,1,0,1,1
6,0,35,5.528203369,1,1,0,1
1,0,55,6.124909363,1,0,0,1
0,1,53,5.821753551,1,1,0,1
4,0,33,5.856825412,1,1,1,1
1,0,27,5.150008874,0,0,0,1
1,0,33,5.881778809,1,0,1,1
0,1,43,5.529325233,1,1,0,1
12,1,32,5.811524748,1,0,1,1
2,1,28,4.843524839,1,0,0,1
19,0,51,5.870043018,1,0,0,1
8,0,36,6.393792014,1,0,1,1
4,0,27,5.169250819,1,1,0,1
16,0,31,4.762718227,1,1,1,1
15,0,42,6.441406066,1,0,1,1
4,0,50,6.093463012,0,0,0,0
6,0,24,5.621396894,0,0,0,1
3,1,36,6.479164979,0,1,1,1
13,1,50,4.773623401,0,0,0,1
4,0,38,5.804651101,1,0,0,1
3,0,48,6.053905311,1,0,0,1
12,0,47,5.487494649,0,1,0,1
2,0,33,5.399768578,0,1,0,1
1,1,33,6.546566729,1,0,1,1
10,0,34,6.057420248,1,0,1,1
1,0,22,5.294553417,1,0,0,1
5,0,26,5.805802024,1,0,0,1
17,0,30,5.127597477,1,0,1,1
7,0,23,5.090352424,1,1,0,1
0,0,24,4.76034723,0,1,1,1
20,0,58,5.353433702,1,1,0,1
15,0,34,5.673017428,0,1,1,1
7,0,33,5.414231756,1,0,1,1
5,1,47,4.803686008,1,1,1,1
5,0,30,5.390936737,1,1,0,1
1,1,49,4.8497116,1,1,1,1
5,0,34,5.458475994,1,0,0,1
9,0,24,5.432690984,0,0,0,1
8,0,33,5.729389312,1,0,1,1
1,1,38,5.633560306,0,0,0,1
5,0,28,5.638654256,1,0,0,1
26,0,41,5.149777988,1,0,1,0
13,1,36,6.119293544,1,0,1,1
6,0,61,5.646589751,0,1,0,1
5,1,30,5.273370455,1,0,0,0
12,0,58,6.803428295,0,0,0,1
22,0,40,5.510683552,0,1,0,1
4,1,30,6.367636866,1,1,1,1
1,1,53,5.830072739,1,0,0,1
12,1,43,6.188402386,1,1,1,1
10,0,37,5.700308735,1,0,1,1
10,0,30,5.303081566,1,1,1,1
4,1,52,6.307029063,1,0,0,1
2,0,54,5.637251683,1,1,0,1
1,0,28,4.975132937,0,0,0,1
3,1,23,5.285115819,1,1,0,1
2,0,36,5.64517327,1,0,1,1
19,1,55,5.346905886,1,0,0,1
21,0,30,6.838890013,1,0,1,1
8,1,33,5.76614586,1,0,1,1
17,0,48,5.899681566,0,0,0,0
26,0,34,4.4182732,1,1,1,1
0,1,37,5.119073275,0,1,0,1
8,1,54,6.179688787,1,0,0,1
15,0,22,5.024276217,0,0,0,0
8,1,21,5.540992699,0,0,0,0
1,0,21,6.054234867,0,0,0,1
2,0,41,5.683979398,1,0,0,1
7,1,55,6.727919333,1,0,0,1
2,0,34,6.018223925,1,0,1,1
1,0,32,5.34141456,1,1,1,1
4,0,50,7.070588342,1,0,0,1
22,1,40,5.733104537,1,0,1,1
2,0,24,6.199694035,1,0,0,1
21,1,46,5.921523226,1,1,0,1
4,0,27,6.267610477,0,0,0,1
4,0,24,5.780115267,0,1,0,1
0,1,37,6.608272654,0,1,1,1
1,0,23,4.970551254,0,0,0,1
0,1,54,6.180556206,1,0,1,1
2,1,34,5.562057413,0,1,0,0
1,1,44,4.903984073,1,0,0,1
0,1,24,5.519962415,0,0,0,1
4,0,30,5.388634762,1,1,1,1
3,0,20,5.767921215,0,0,0,1
0,0,43,5.715222192,1,0,0,1
2,0,48,5.472253062,1,0,0,0
1,0,21,5.231957709,0,0,0,1
0,1,35,5.303825669,0,0,0,1
2,1,27,5.469098257,1,1,1,1
10,0,29,5.335955065,0,0,0,0
14,1,28,6.172757286,0,0,0,1
10,0,37,5.646174762,0,1,0,1
3,0,25,5.450286118,0,1,1,1
14,0,25,5.509247937,0,1,0,0
9,1,40,5.877202823,1,0,0,1
1,0,37,6.064997462,0,0,0,1
0,0,42,5.898811462,1,0,0,1
0,1,41,5.248092492,1,0,1,1
1,0,40,5.00381688,1,1,1,1
0,0,21,5.128121805,0,0,0,1
5,0,30,5.713001245,1,0,1,0
6,0,37,5.080053752,1,0,1,1
7,0,34,5.905011178,0,1,0,1
12,0,21,5.277978052,1,0,0,1
12,0,40,5.959637189,0,0,0,1
5,1,37,5.565250934,0,0,0,1
22,0,60,6.819230955,1,0,0,1
2,0,31,5.163840361,1,1,1,1
4,0,23,5.467554492,0,0,0,1
2,0,25,5.521380317,1,0,0,1
2,0,37,5.721431768,1,1,0,0
8,0,24,5.058625625,1,0,1,1
1,1,42,6.33403157,1,1,0,1
2,0,43,5.965755867,1,0,1,1
13,1,36,6.129544087,0,0,0,1
10,0,44,5.580476179,0,0,0,0
2,0,38,5.065250779,1,1,1,1
2,0,22,5.555466389,0,0,0,1
0,1,31,5.597426484,0,1,1,1
2,0,27,5.103377891,1,1,1,1
6,0,33,5.421219519,0,0,0,1
1,0,42,5.619339084,0,0,0,1
4,0,41,4.940769813,0,0,0,0
19,0,44,6.03235694,1,0,1,1
3,1,24,5.736591296,0,1,0,1
1,0,30,5.352320789,0,1,1,0
7,0,35,5.602741158,0,0,0,0
3,0,48,4.90728709,1,0,0,1
7,0,49,6.859582393,1,0,1,1
4,1,42,5.878308531,1,0,1,0
6,1,42,5.818720031,1,1,1,0
8,1,37,6.288758042,1,0,1,1
4,1,27,5.694367917,1,1,1,1
13,0,26,5.246250027,0,0,0,0
0,1,24,5.924479373,1,0,0,1
6,0,29,4.789398169,0,0,0,1
5,0,46,5.400720313,1,0,0,0
2,0,43,5.749670094,1,0,1,1
1,0,42,5.881716088,1,0,1,0
21,0,31,4.792217927,0,1,0,0
19,0,25,6.148088593,1,0,1,1
20,0,24,5.496960619,1,1,1,1
2,0,27,5.454178723,0,1,0,0
25,0,58,4.927664001,1,0,1,0
0,1,48,5.599171025,1,0,1,1
22,1,48,6.628915186,1,0,1,1
19,0,54,7.024946233,1,0,0,1
4,0,30,5.042043917,0,0,0,1
1,1,28,5.865759974,1,0,1,0
2,0,45,5.156657748,1,1,0,1
11,0,37,5.594966273,1,1,1,1
7,0,35,5.923506801,0,1,1,0
16,0,43,5.715674396,1,0,0,1
4,0,32,5.878747906,0,0,0,1
12,1,55,6.673999608,1,0,0,0
10,0,53,6.142889454,0,1,0,1
0,1,36,6.658562905,1,0,0,1
15,0,31,6.135731839,0,0,0,1
15,1,20,5.819882242,0,0,1,1
6,0,28,5.656414459,0,0,0,1
5,0,61,5.97928519,1,1,0,0
0,0,22,5.751903922,0,0,1,1
7,0,37,6.324086916,0,0,0,1
15,0,28,5.448012384,0,0,0,1
8,0,56,6.852165325,0,0,1,1
9,0,33,6.527225223,1,1,1,1
4,0,24,5.210718356,1,1,0,1
4,0,59,5.638103033,0,0,0,1
1,0,43,6.825152824,1,0,0,1
5,0,35,5.33253664,0,0,1,0
11,0,27,6.112514961,0,0,1,1
2,0,30,5.90432508,0,1,1,1
1,0,27,5.993724072,1,0,0,0
6,0,33,5.927163255,1,1,1,0
7,0,26,5.134931551,0,0,0,0
10,0,50,5.940902504,1,0,1,0
8,0,41,5.786120627,1,0,1,1
2,0,57,6.087113257,1,0,0,1
8,0,21,5.966974737,0,0,0,1
19,1,28,6.204592708,1,0,0,1
14,1,52,6.953887581,1,0,0,0
24,0,42,6.785492558,0,1,0,1
9,0,33,6.432797722,1,0,1,1
11,1,48,6.612679673,0,0,0,1
3,0,43,6.457937052,0,0,0,1
10,0,42,5.886008099,1,0,1,1
2,0,29,6.426285965,1,1,0,1
4,0,44,6.388020091,1,0,0,1
6,0,39,5.721469656,1,1,1,1
4,1,55,6.626230008,1,0,0,1
7,0,39,6.210254144,1,1,0,1
3,1,52,5.237228832,0,1,0,1
9,0,34,5.639638113,0,0,0,1
14,0,27,5.395912273,0,0,0,1
11,0,61,5.916734639,1,0,0,1
19,0,52,5.866878947,1,1,1,1
0,0,36,5.562140042,0,1,0,1
0,1,38,6.536996942,0,0,0,1
14,0,40,6.667868783,1,0,1,1
1,0,24,5.540510028,0,1,1,1
26,0,29,6.497943584,0,0,0,0
12,0,44,5.785616712,1,1,0,1
9,0,39,5.319324162,1,1,1,1
8,0,56,6.20890111,0,0,0,1
10,0,48,5.427267724,1,1,0,0
8,0,40,5.752688244,1,1,1,1
18,1,55,5.54815041,0,0,0,1
8,0,37,5.097215327,1,1,0,1
5,0,35,5.049202637,0,0,1,0
8,0,29,5.452691929,1,1,1,1
0,0,47,5.626686784,0,1,0,0
14,0,25,5.42765832,0,0,0,0
11,1,25,5.241476119,1,1,1,1
1,1,32,5.372751487,0,0,0,1
26,0,39,5.278156811,0,1,0,0
4,0,28,5.065681227,1,1,1,0
1,1,30,5.570744508,1,1,1,0
7,1,39,6.217218262,1,0,1,1
6,0,43,5.058534088,0,1,1,0
6,0,45,5.228044613,1,1,0,1
3,0,35,5.53026174,0,1,0,1
1,0,26,5.860663061,1,0,0,1
2,0,37,5.040653025,1,1,1,1
3,0,21,5.333560192,0,0,0,0
0,0,44,4.83224952,1,0,1,1
12,0,29,6.064300106,0,0,0,1
13,1,55,6.600220388,1,0,0,1
7,0,27,5.708979757,0,0,0,1
6,0,35,5.467981153,0,0,0,0
5,1,30,5.609022419,0,0,0,1
6,0,55,5.756558805,1,0,0,1
6,1,26,5.660377575,1,0,0,1
5,0,40,5.58890397,1,1,1,1
5,0,27,5.265126808,1,0,1,0
2,1,22,4.933041933,1,1,1,1
1,1,32,4.931737332,1,0,1,1
1,1,33,5.55953934,0,1,0,1
16,0,33,5.965866103,1,0,0,1
3,0,36,6.306097771,1,0,1,1
2,1,39,5.705222981,0,1,1,1
1,1,27,5.111120841,1,0,1,1
5,0,25,5.349830766,1,0,0,1
10,0,36,5.535070439,1,0,1,0
10,1,58,5.468766952,0,0,0,0
3,1,31,5.522188929,0,1,0,0
8,1,26,6.24126715,1,0,0,1
6,1,40,6.940642052,1,0,1,1
2,0,54,6.376687195,0,0,0,1
4,1,51,5.38261176,1,1,0,1
15,1,24,5.166394611,0,0,1,1
4,0,51,5.181288856,1,1,0,0
3,0,28,5.657774558,0,0,0,1
1,1,32,5.998690659,0,0,0,1
12,0,25,4.910409227,0,1,0,0
7,0,45,5.958321283,1,1,0,1
2,0,24,5.803516486,0,0,0,1
1,0,25,4.980465683,0,1,0,0
1,0,42,4.905581158,1,1,1,1
14,0,28,5.911634735,1,0,0,1
4,0,25,4.947741537,0,0,0,1
6,0,53,5.043827798,0,1,0,1
0,0,21,5.184838173,0,0,0,1
2,0,22,5.391987432,0,1,0,1
5,0,22,4.528375229,0,1,0,1
27,0,41,5.48307344,1,1,0,1
10,0,46,5.137756623,0,0,0,1
0,0,40,6.35845814,0,1,0,1
0,0,39,6.585216732,0,0,0,1
3,1,45,6.237215684,0,0,0,1
6,0,45,6.060909454,1,0,1,1
27,0,21,5.602540553,0,0,1,1
14,0,50,6.39281886,0,0,0,1
7,1,46,6.020103777,0,1,0,1
4,0,37,6.502327292,0,1,0,1
14,0,50,5.49598639,1,1,0,1
6,0,28,5.937003461,0,0,0,1
6,0,22,5.939425262,0,0,0,1
8,0,21,5.327691569,1,0,1,1
14,1,29,6.114751414,1,1,1,1
1,0,38,5.771785756,1,0,1,0
9,0,40,5.82212414,1,1,1,0
2,1,25,6.178951226,1,1,0,1
1,0,22,5.50715194,0,1,0,1
5,1,42,6.36524336,0,1,0,1
12,0,56,5.981333921,1,0,0,1
5,0,32,5.550640817,1,0,1,1
8,0,40,6.036591495,0,0,0,1
6,1,28,5.983763047,1,0,1,1
21,0,29,6.052284187,1,1,1,1
1,0,29,5.076560783,0,1,0,1
0,1,33,5.269829805,0,1,0,1
6,0,36,5.962879191,1,1,0,1
2,1,43,6.166385218,1,0,0,1
3,1,39,6.217496669,0,1,0,0
25,0,58,5.620689661,1,1,0,1
4,0,39,5.900087808,1,1,0,1
21,1,26,5.866359347,0,0,0,1
10,0,44,6.357607075,1,0,1,1
7,0,34,5.745760992,1,1,1,1
5,1,35,5.624952101,0,0,0,1
10,0,23,6.026691283,0,1,0,1
7,0,42,6.399242272,1,0,1,1
3,0,22,5.905785316,0,0,0,1
1,0,25,6.014025998,0,1,0,1
4,0,34,6.032522158,1,1,0,1
26,0,29,5.448309427,1,0,1,0
4,0,53,6.561377511,1,0,0,1
15,0,34,6.124474671,1,0,1,1
4,1,39,5.86378072,0,1,1,1
1,0,61,5.814501408,1,0,0,1
5,0,39,6.668333819,1,1,1,1
8,0,52,6.648216668,1,0,0,1
3,0,30,6.297970913,1,0,1,1
4,0,37,5.830144498,1,0,1,1
14,1,35,5.842834376,0,1,0,1
1,0,36,6.287727424,0,0,0,1
4,1,32,6.358159478,1,0,0,1
16,0,45,6.334964982,1,1,1,1
5,0,24,5.503133823,0,0,0,1
4,0,28,5.611142358,0,0,0,1
10,0,47,5.734519704,0,1,0,1
20,0,48,5.876387637,0,0,0,1
1,0,35,5.442583349,1,0,1,1
8,1,41,5.857344341,1,0,0,1
7,0,21,4.993124334,0,0,0,1
2,0,21,6.099948526,0,0,0,1
3,0,48,5.904640166,1,1,0,1
12,0,48,6.028535878,1,0,0,1
3,0,40,5.907882584,0,0,1,1
1,1,34,6.614145198,1,0,1,1
1,1,22,5.796779382,0,1,0,1
16,0,45,5.812327808,0,1,1,1
20,0,30,6.335246977,1,0,0,0
14,1,43,5.646264024,0,0,0,0
4,0,52,6.664544712,1,0,0,1
26,1,35,6.455371126,0,0,0,1
2,1,37,5.961255257,1,0,1,1
5,1,22,5.272562682,0,0,0,1
10,0,30,5.444507642,1,1,1,1
8,0,25,5.355475451,1,1,1,1
17,0,47,6.337870876,0,1,0,1
15,0,43,6.443343657,1,0,1,1
9,0,29,5.308014129,0,1,0,0
8,0,54,5.522581488,0,1,1,1
0,1,21,4.891814511,0,1,0,1
3,1,50,7.065821639,0,0,0,1
0,1,43,6.280048058,1,0,1,1
1,1,37,6.515604512,1,1,1,1
0,1,28,5.334119317,0,0,0,1
2,0,24,5.492956992,0,0,0,1
26,0,32,5.646987669,0,0,0,1
11,0,26,5.862740563,0,1,0,1
13,1,55,5.949358633,1,0,0,1
1,1,32,5.805804447,0,0,0,1
6,0,59,5.816580145,0,1,0,1
5,0,33,5.919401808,0,0,0,1
1,0,38,5.567266857,0,1,0,1
1,1,22,4.812255045,1,1,1,1
0,0,41,5.627075575,1,0,0,1
5,0,54,5.813311676,1,0,0,1
4,1,42,5.310743118,0,1,0,0
15,0,22,4.815525145,1,0,1,1
9,1,38,6.691486297,1,0,1,1
0,0,27,6.101067779,0,0,0,1
3,0,38,5.916698055,1,1,1,1
1,1,24,5.434519003,0,0,0,1
5,0,20,4.702223254,0,0,1,1
6,1,34,6.554121677,1,0,1,1
0,0,28,5.653533332,1,1,0,1
10,0,29,5.355102567,0,1,1,0
15,0,47,6.003295103,1,0,0,0
2,1,40,6.612977568,1,0,0,0
3,0,48,6.187885329,0,0,0,1
7,0,42,6.932043067,0,1,1,1
3,0,56,5.864567953,1,1,0,1
11,0,31,5.903063454,1,0,1,1
4,1,48,5.123569689,1,0,0,1
22,0,27,6.030406274,1,1,0,1
4,0,28,4.971393966,0,0,0,0
2,1,44,5.159210609,1,1,1,1
16,0,24,5.862623503,1,0,1,1
8,0,28,5.538463341,1,0,0,1
16,0,40,5.779917798,0,0,0,1
16,0,40,6.09229718,0,0,0,1
10,0,20,4.797239797,0,0,0,0
3,0,24,5.583909309,1,0,0,1
13,0,50,5.692604665,1,0,0,0
16,0,39,6.586776438,1,0,1,1
4,0,31,5.755677349,0,1,0,1
3,0,37,5.496636793,1,0,0,1
2,0,30,6.128828118,0,1,1,1
1,1,42,6.003190271,1,0,1,1
10,0,37,5.888243486,1,1,0,1
9,0,43,5.785159792,0,1,0,1
0,1,30,6.144385205,1,0,0,1
11,0,23,5.498762169,0,0,1,0
1,0,26,5.414492112,0,0,1,1
2,0,29,5.074409597,1,0,1,1
2,0,46,5.524046492,1,0,0,1
10,0,61,5.502112375,1,1,0,1
5,1,24,4.740380562,0,0,0,0
1,0,32,6.400094519,0,1,0,1
2,0,20,4.958642489,0,1,0,1
9,0,34,5.527922724,0,1,1,1
2,1,55,5.431901856,0,0,0,0
2,0,30,5.57893406,1,0,1,1
1,1,26,5.749299914,0,1,0,1
2,0,57,5.177623865,1,0,0,0
7,1,29,5.554381257,1,0,1,1
1,0,50,5.44384436,1,0,1,1
4,0,21,5.468515216,1,1,0,1
1,1,21,5.043742362,1,1,0,1
2,0,24,5.53412635,1,1,1,1
1,0,27,5.588389183,0,0,0,1
0,1,43,5.813208993,0,1,1,1
3,1,39,6.226826823,1,0,0,1
0,0,21,5.291727397,1,1,1,1
1,0,32,3.35827794,1,0,0,1
5,0,26,5.146681162,0,0,0,1
8,1,43,5.982334208,1,0,1,1
3,0,26,5.95643547,1,0,1,1
7,1,55,5.683742174,1,0,0,1
6,1,26,5.408250319,1,0,1,1
9,0,59,5.44275601,0,1,0,1
1,0,55,5.271202887,1,0,0,1
5,0,51,5.233223911,1,1,0,1
22,0,52,6.53342113,1,0,0,1
2,0,38,4.91750197,0,1,0,0
16,0,24,5.656149865,0,1,0,1
5,0,21,4.872282265,0,0,0,0
1,0,27,4.749816432,0,0,0,0
13,0,23,5.227549115,0,0,1,0
5,0,30,4.904059238,0,1,0,1
3,0,28,5.858179018,1,1,1,1
0,1,28,5.294266079,0,1,1,1
4,0,56,5.061881739,1,0,0,1
0,1,54,6.107232329,1,1,0,1
3,0,50,5.501053924,0,0,0,1
1,1,26,4.966678844,0,0,0,1
2,0,21,5.555701093,0,0,0,1
2,0,28,4.464998227,0,0,0,1
1,1,57,4.998933415,0,1,0,1
5,1,29,5.362545405,1,0,0,1
1,0,46,6.992539035,1,0,1,1
2,0,31,5.451679579,1,0,1,1
0,1,22,5.389790373,1,0,0,1
5,0,52,5.245376283,1,1,0,1
10,1,25,5.459806471,0,0,0,0
0,0,52,6.48333597,0,0,0,1
3,1,25,5.586856679,0,0,0,0
7,0,51,6.783992726,1,0,0,1
1,0,26,5.375556193,0,1,0,0
1,0,49,6.172048251,1,0,1,1
15,1,42,6.309200292,1,0,1,0
14,0,56,5.611414263,1,0,0,1
24,0,48,6.250354198,0,0,0,1
2,1,21,5.321640686,0,1,0,1
16,1,36,5.634622864,0,1,0,1
26,0,49,5.611550709,1,0,0,1
22,0,38,6.177649653,1,0,1,1
5,1,26,5.944589363,1,1,1,0
10,0,52,6.293054941,1,0,0,1
21,1,52,4.655878578,0,1,0,1
2,1,41,5.99804992,1,0,1,1
